Surveyor (Last Name),Day of the Week,Neighborhood,Language,Business ID,Bus or Bike Lane,Person Surveyed,Chain,Business Type,Number of Customers,Business Length Open,Number of Workers,Family Owned,Primary Concern,Financial Stability,Neighborhood Recovered,Crime,Housing Affordability,Local Politicians,Technology (list all with commas between),Adopt Technology Post-Pandemic,Struggle without Technology,Own or Rent,Amount Rent,Bicycle Lanes,Dedicated Bus Lanes,Trees,Public Art,"Notes (include data here on ""Other"" responses, observational notes.)"
Arnett,Friday,Downtown Oakland,English,DTO-16,,Owner,No,Restaurant/Bar,15,6-10 years,More than 10,Yes,"Crime, issues with remote work",Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,"Social media, online orders, delivery services, website",No,Yes,Rent,Did not want to share,Don't Know,Don't Support,Support,Support,Needed reassurance that the survey was truly anonymous
Arnett,Friday,Downtown Oakland,English,DTO-20,,Owner,No,Restaurant/Bar,2,More than 10 years,Less than 5,Yes,Safety,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,"Social media, online orders, delivery services, website",Yes,Yes,Rent,3500,Support,Don't Support,Support,Support,"Delivery adopted post pandemic, other tech in place before"
Arnett,Friday,Downtown Oakland,English,DTO-30,,Manager,Yes,Restaurant/Bar,6,0-3 years,More than 10,No,Security,Don't Know/NA,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, delivery services, website, app",Yes,Yes,Rent,Not sure,Support,Don't Know,Support,Support,
Arnett,Friday,Downtown Oakland,English,DTO-54,,Owner,Yes,Retail,0,0-3 years,10-May,No,"Adjustment of leases that began before COVID - this person signed a lease in Jan of 2020 that he no longer feels represents the value of the space, many owners trying to renogiate. Crime secondary concern.",Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, website, SEO, paid social media advertising",Yes,Yes,Rent,8200,Support,Don't Support,Don't Support,Support,"Online ecommerce through the mail and same day pickup in store. Just opened 2nd location. Business opened in Summer 2020 but lease was signed pre-March 2020. Negotiated rent down from 9800 to 8200, tenant has to also pay property taxes and management fees on behalf of landlord. Seems like a bad deal and number appears higher than the other people who were willing to disclose. COVID forced business to rely more on ecommerce but owner wishes it could be pure retail"
Barker,Friday,Downtown Oakland,English,DTO-10,Neither,Owner,Yes,Restaurant/Bar,5,0-3 years,More than 10,Yes,"safety, break ins, parking",Don't Know/NA,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,"social media, online orders, delivery services, website",Yes,No,Rent,4000,Support,Support,Support,Support,Complained about the excessive fees that delivery services charge
Barker,Friday,Downtown Oakland,English,DTO-14,Neither,Employee,Yes,Activity Based,5,4-5 years,More than 10,No,community,Don't Know/NA,Strongly Disagree,Strongly Agree,Don't Know/NA,Don't Know/NA,"social media, online orders, website, class pass, ash",Yes,Yes,Rent,,Support,Support,Support,Support,
Barker,Friday,Downtown Oakland,English,DTO-23,Neither,Owner,No,Restaurant/Bar,7,0-3 years,More than 10,No,lack of city support,Don't Know/NA,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,"social media, online orders, delivery services, website",Yes,Yes,Rent,4540,Support,Support,Support,Support,
Barker,Friday,Downtown Oakland,English,DTO-68,Neither,Manager,Yes,Restaurant/Bar,8,More than 10 years,10-May,Yes,"robberies, homeless people",Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,"social media, online orders, delivery services, website",No,Yes,Rent,,Support,Support,Support,Support,
Becica,Friday,SF Chinatown,English,SFMB1,Neither,Employee,No,Retail,2,More than 10 years,Less than 5,Yes,Not enough business and foot traffic. Big loss of business from not having conventions anymore - big conventions used to bring lots of business to Chinatown and businesses used to stay open late. Now everyone closes early.,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Website,No,No,Rent,6500,Support,Don't Know,Don't Know,Support,
Becica,Friday,SF Chinatown,English,SFMB2,Neither,Employee,No,Retail,2,0-3 years,Less than 5,No,Less tourists after COVID,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Don't Know/NA,None,,,,,Don't Support,Don't Support,Don't Know,Don't Know,
Becica,Friday,SF Chinatown,English,SFMB4,Neither,Owner,No,Retail,0,More than 10 years,Less than 5,Yes,,,,,,,,,,,,,,,,Ended the survey after being asked what the primary concern for business owners are. Seemed to not want to have his opinions on issues recorded
Becica,Friday,SF Chinatown,English,SFMB5,Neither,Employee,No,Restaurant/Bar,0,More than 10 years,Less than 5,Yes,Getting people in San Francisco to leave their neighborhoods to visit Chinatown,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,Social media,,No,,,Support,Don't Support,Support,Support,
Bernal,Wednesday,Berkeley,English,B0201,Neither,Owner,No,Retail,15,More than 10 years,10-May,Yes,Crime,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,"Social media, online orders, website",Yes,Yes,Rent,"$11,000 ",Don't Support,Don't Support,Support,Support,
Bernal,Wednesday,Berkeley,English,B0202,Neither,Employee,Yes,Retail,3,More than 10 years,10-May,Yes,Foot traffic volume,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Don't Know/NA,"Social media, online orders, website",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Bernal,Friday,Berkeley,English,B0206,Neither,Employee,No,Retail + Services,0,0-3 years,10-May,Yes,Rent,Strongly Agree,Somewhat Agree,Somewhat Disagree,Don't Know/NA,Somewhat Disagree,"Social media, online orders, website",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Bernal,Friday,Berkeley,English,B0207,Neither,Employee,No,Retail + Services,3,More than 10 years,10-May,Yes,Staying in business,Somewhat Agree,Somewhat Agree,Somewhat Agree,Don't Know/NA,Strongly Agree,Social media,No,,Own,N/A,Don't Know,Don't Know,Don't Know,Support,
Biniaz,Monday,SF Chinatown,English,SFCTB1,Neither,Owner,Yes,Grocery/Market,2,More than 10 years,Less than 5,Yes,Safety,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,"social media, online orders, delivery services, website",No,No,Rent,5000,Don't Support,,Don't Support,Support,
Biniaz,Monday,SF Chinatown,English,SFCTB2,Neither,Manager,No,Retail,0,More than 10 years,Less than 5,Yes,Crime,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,none,,,Rent,5000,Support,Support,Support,Support,
